Age,Age_Group,Job,Marital_Status,Education,Has_Credit_Default,Has_Housing_Loan,Has_Personal_Loan,Contact_Type,Contact_Month,Contact_Day,Call_Duration_Seconds,Call_Duration_Minutes,Campaign_Contacts,Campaign_Contact_Group,Days_Since_Previous_Contact,Previous_Contact_Status,Days_Since_Previous_Contact_Clean,Previous_Contacts,Previous_Campaign_Outcome,Employment_Variation_Rate,Consumer_Price_Index,Consumer_Confidence_Index,Euribor_3_Month,Number_Employed,Subscribed_Term_Deposit,Subscribed_Flag
50,45-54,Technician,Married,Professional Course,Unknown,No,No,telephone,jun,thu,64,1.07,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Services,Married,High School,Unknown,No,No,telephone,jun,thu,139,2.32,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
39,35-44,Technician,Single,Professional Course,Unknown,No,No,telephone,jun,thu,820,13.67,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Admin,Divorced,High School,No,No,No,telephone,jun,thu,149,2.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
30,25-34,Blue Collar,Married,Basic 9 Years,No,No,No,telephone,jun,thu,348,5.8,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Blue Collar,Married,Unknown,No,No,No,telephone,jun,thu,71,1.18,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Admin,Married,Professional Course,Unknown,No,No,telephone,jun,thu,168,2.8,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
56,55-64,Blue Collar,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,573,9.55,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Management,Divorced,University Degree,Unknown,Yes,No,telephone,jun,thu,209,3.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
30,25-34,Admin,Married,University Degree,No,No,No,telephone,jun,thu,446,7.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
33,25-34,Self Employed,Single,University Degree,No,No,No,telephone,jun,thu,111,1.85,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Blue Collar,Married,Basic 6 Years,No,No,No,telephone,jun,thu,34,0.57,31,7+ Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
58,55-64,Self Employed,Divorced,Professional Course,No,No,No,telephone,jun,thu,197,3.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Admin,Divorced,High School,No,Yes,No,telephone,jun,thu,1224,20.4,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Subscribed,1
46,45-54,Blue Collar,Married,Basic 6 Years,No,No,No,telephone,jun,thu,144,2.4,10,7+ Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
53,45-54,Services,Married,High School,Unknown,Yes,No,telephone,jun,thu,75,1.25,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
58,55-64,Self Employed,Divorced,Professional Course,No,Yes,No,telephone,jun,thu,430,7.17,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Housemaid,Single,High School,Unknown,No,No,telephone,jun,thu,32,0.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
43,35-44,Services,Married,High School,No,Yes,No,telephone,jun,thu,268,4.47,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
34,25-34,Services,Divorced,Basic 9 Years,Unknown,No,No,telephone,jun,thu,73,1.22,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Blue Collar,Married,Basic 9 Years,Unknown,No,No,telephone,jun,thu,203,3.38,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Admin,Married,Professional Course,No,No,No,telephone,jun,thu,252,4.2,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Unemployed,Married,High School,Unknown,Yes,Yes,telephone,jun,thu,188,3.13,5,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Services,Married,High School,No,No,No,telephone,jun,thu,395,6.58,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
54,45-54,Retired,Divorced,Basic 4 Years,No,No,No,telephone,jun,thu,170,2.83,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Services,Divorced,Basic 9 Years,No,No,No,telephone,jun,thu,147,2.45,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
36,35-44,Admin,Married,University Degree,No,Yes,No,telephone,jun,thu,127,2.12,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
51,45-54,Technician,Married,Professional Course,No,Yes,No,telephone,jun,thu,22,0.37,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Unemployed,Married,Professional Course,No,Yes,No,telephone,jun,thu,109,1.82,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Technician,Married,High School,No,No,No,telephone,jun,thu,677,11.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
52,45-54,Management,Divorced,University Degree,No,No,No,telephone,jun,thu,167,2.78,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
29,25-34,Admin,Married,University Degree,No,No,Yes,telephone,jun,thu,105,1.75,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
46,45-54,Services,Married,Basic 9 Years,No,No,No,telephone,jun,thu,57,0.95,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Technician,Single,High School,No,No,No,telephone,jun,thu,220,3.67,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Self Employed,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,140,2.33,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
48,45-54,Admin,Single,University Degree,No,Yes,No,telephone,jun,thu,1082,18.03,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
27,25-34,Technician,Single,Professional Course,No,No,No,telephone,jun,thu,248,4.13,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
32,25-34,Self Employed,Single,High School,No,No,No,telephone,jun,thu,11,0.18,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
45,45-54,Blue Collar,Married,Basic 9 Years,Unknown,Yes,Yes,telephone,jun,thu,93,1.55,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Admin,Married,University Degree,No,No,No,telephone,jun,thu,161,2.68,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
32,25-34,Services,Married,High School,No,No,No,telephone,jun,thu,653,10.88,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Admin,Married,High School,No,No,No,telephone,jun,thu,193,3.22,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Management,Married,Basic 4 Years,No,No,Yes,telephone,jun,thu,216,3.6,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Admin,Married,High School,No,No,Yes,telephone,jun,thu,291,4.85,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
53,45-54,Admin,Single,High School,No,No,No,telephone,jun,thu,223,3.72,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
37,35-44,Technician,Married,Professional Course,No,No,No,telephone,jun,thu,96,1.6,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Admin,Married,Basic 4 Years,No,No,No,telephone,jun,thu,477,7.95,7,7+ Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
58,55-64,Retired,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,327,5.45,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
53,45-54,Admin,Single,High School,No,No,No,telephone,jun,thu,446,7.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Technician,Married,Professional Course,No,No,No,telephone,jun,thu,159,2.65,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
55,55-64,Admin,Married,High School,No,Yes,No,telephone,jun,thu,178,2.97,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
51,45-54,Blue Collar,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,152,2.53,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
51,45-54,Admin,Married,Professional Course,Unknown,No,No,telephone,jun,thu,169,2.82,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
37,35-44,Technician,Single,Professional Course,No,No,No,telephone,jun,thu,635,10.58,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
48,45-54,Services,Divorced,Basic 6 Years,Unknown,Yes,No,telephone,jun,thu,122,2.03,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
44,35-44,Admin,Married,University Degree,No,No,No,telephone,jun,thu,136,2.27,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
34,25-34,Admin,Married,High School,No,No,No,telephone,jun,thu,69,1.15,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
45,45-54,Admin,Married,Basic 9 Years,No,No,No,telephone,jun,thu,521,8.68,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
33,25-34,Technician,Married,Professional Course,No,Yes,No,telephone,jun,thu,201,3.35,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Admin,Married,University Degree,No,Yes,Yes,telephone,jun,thu,142,2.37,4,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Blue Collar,Single,Basic 6 Years,No,Unknown,Unknown,telephone,jun,thu,59,0.98,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
30,25-34,Admin,Married,High School,No,No,No,telephone,jun,thu,66,1.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Blue Collar,Married,Basic 9 Years,Unknown,Yes,No,telephone,jun,thu,512,8.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Subscribed,1
45,45-54,Housemaid,Married,Professional Course,Unknown,Yes,No,telephone,jun,thu,810,13.5,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
45,45-54,Services,Married,Basic 6 Years,No,Yes,Yes,telephone,jun,thu,138,2.3,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
38,35-44,Technician,Single,Professional Course,No,No,No,telephone,jun,thu,574,9.57,4,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Services,Married,Unknown,Unknown,No,No,telephone,jun,thu,44,0.73,6,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
43,35-44,Admin,Married,University Degree,No,No,No,telephone,jun,thu,145,2.42,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
35,35-44,Blue Collar,Married,Basic 9 Years,Unknown,Yes,No,telephone,jun,thu,196,3.27,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
37,35-44,Blue Collar,Single,Basic 4 Years,Unknown,Yes,Yes,telephone,jun,thu,270,4.5,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Admin,Married,University Degree,Unknown,No,No,telephone,jun,thu,252,4.2,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
39,35-44,Management,Married,Basic 4 Years,Unknown,Yes,No,telephone,jun,thu,26,0.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
34,25-34,Blue Collar,Married,Basic 9 Years,No,Yes,No,telephone,jun,thu,335,5.58,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
46,45-54,Blue Collar,Married,Basic 4 Years,Unknown,No,Yes,telephone,jun,thu,89,1.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
44,35-44,Blue Collar,Married,Basic 4 Years,No,No,No,telephone,jun,thu,330,5.5,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Entrepreneur,Married,University Degree,Unknown,Unknown,Unknown,telephone,jun,thu,91,1.52,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
54,45-54,Admin,Married,High School,No,No,No,telephone,jun,thu,361,6.02,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
46,45-54,Entrepreneur,Married,Basic 9 Years,No,No,No,telephone,jun,thu,64,1.07,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
36,35-44,Management,Divorced,University Degree,No,No,No,telephone,jun,thu,221,3.68,12,7+ Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Blue Collar,Married,Basic 4 Years,Unknown,Yes,No,telephone,jun,thu,84,1.4,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Services,Married,Unknown,No,Yes,No,telephone,jun,thu,53,0.88,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
34,25-34,Technician,Single,University Degree,No,No,No,telephone,jun,thu,90,1.5,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
45,45-54,Unknown,Married,Unknown,No,No,No,telephone,jun,thu,141,2.35,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
33,25-34,Services,Married,University Degree,No,No,No,telephone,jun,thu,254,4.23,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
45,45-54,Blue Collar,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,263,4.38,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Blue Collar,Married,Basic 9 Years,Unknown,No,No,telephone,jun,thu,212,3.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
38,35-44,Blue Collar,Married,Basic 4 Years,Unknown,No,No,telephone,jun,thu,149,2.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Technician,Married,Professional Course,No,No,No,telephone,jun,thu,77,1.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Services,Married,High School,No,No,Yes,telephone,jun,thu,374,6.23,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
39,35-44,Blue Collar,Married,Basic 9 Years,Unknown,No,No,telephone,jun,thu,207,3.45,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Blue Collar,Married,Basic 9 Years,Unknown,Yes,No,telephone,jun,thu,83,1.38,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
41,35-44,Admin,Divorced,High School,No,Unknown,Unknown,telephone,jun,thu,289,4.82,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Entrepreneur,Married,Basic 9 Years,Unknown,No,No,telephone,jun,thu,143,2.38,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Unknown,Married,Unknown,No,No,Yes,telephone,jun,thu,188,3.13,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Unemployed,Married,High School,Unknown,Yes,No,telephone,jun,thu,106,1.77,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
34,25-34,Admin,Single,High School,No,Yes,No,telephone,jun,thu,191,3.18,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
49,45-54,Admin,Divorced,High School,No,No,No,telephone,jun,thu,370,6.17,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
43,35-44,Technician,Married,Basic 9 Years,Unknown,Yes,No,telephone,jun,thu,487,8.12,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
42,35-44,Services,Married,High School,Unknown,No,No,telephone,jun,thu,84,1.4,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
52,45-54,Blue Collar,Married,Unknown,Unknown,Yes,No,telephone,jun,thu,118,1.97,4,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
50,45-54,Blue Collar,Married,Basic 4 Years,Unknown,Yes,No,telephone,jun,thu,56,0.93,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
57,55-64,Admin,Married,University Degree,No,No,Yes,telephone,jun,thu,253,4.22,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Blue Collar,Married,Basic 6 Years,No,Yes,No,telephone,jun,thu,786,13.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
44,35-44,Blue Collar,Married,Unknown,No,No,No,telephone,jun,thu,239,3.98,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
40,35-44,Management,Married,University Degree,No,No,No,telephone,jun,thu,136,2.27,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
30,25-34,Admin,Married,High School,No,No,No,telephone,jun,thu,162,2.7,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
33,25-34,Management,Married,University Degree,No,No,Yes,telephone,jun,thu,219,3.65,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
37,35-44,Unemployed,Married,Professional Course,Unknown,Yes,Yes,telephone,jun,thu,135,2.25,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
36,35-44,Admin,Married,High School,No,No,No,telephone,jun,thu,177,2.95,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
38,35-44,Technician,Divorced,Professional Course,No,No,No,telephone,jun,thu,252,4.2,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
55,55-64,Retired,Divorced,Professional Course,No,No,No,telephone,jun,thu,416,6.93,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
43,35-44,Unemployed,Married,Professional Course,No,Yes,No,telephone,jun,thu,52,0.87,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
37,35-44,Technician,Single,High School,No,No,No,telephone,jun,thu,32,0.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
31,25-34,Blue Collar,Married,Basic 9 Years,No,No,No,telephone,jun,thu,217,3.62,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
29,25-34,Student,Married,High School,Unknown,No,No,telephone,jun,thu,145,2.42,4,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
24,Below 25,Technician,Married,Professional Course,No,No,No,telephone,jun,thu,93,1.55,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
57,55-64,Services,Married,High School,Unknown,Yes,Yes,telephone,jun,thu,61,1.02,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
30,25-34,Blue Collar,Single,Unknown,No,No,Yes,telephone,jun,thu,262,4.37,5,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
58,55-64,Technician,Married,High School,No,No,No,telephone,jun,thu,246,4.1,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
26,25-34,Admin,Single,High School,No,Unknown,Unknown,telephone,jun,thu,92,1.53,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
29,25-34,Blue Collar,Single,High School,No,Yes,No,telephone,jun,thu,1318,21.97,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Subscribed,1
23,Below 25,Services,Single,High School,No,No,No,telephone,jun,thu,197,3.28,10,7+ Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
47,45-54,Management,Married,Basic 9 Years,Unknown,Unknown,Unknown,telephone,jun,thu,282,4.7,4,4-6 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Not Subscribed,0
38,35-44,Blue Collar,Married,Basic 6 Years,Unknown,No,No,telephone,jun,thu,922,15.37,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.4,94.465,-41.8,4.961,"5,228.1",Subscribed,1
